"Id","Trismegistos","EDR","PHI","EDCS"
"ISic001554","284953","108277","175619","41300028 64900331"
"ISic001555","284798","105644","175620","41300029"
"ISic001556","284799","105650","175621","41300030"
"ISic001557","493903","","175627","41300031"
"ISic001558","493904","","175631 330041","41300033"
"ISic001559","493906","","175633","41300035"
"ISic001560","493907","","175635","41300036"
"ISic001561","285098","120894","175647","41300038"
"ISic001562","285088","120810","175654","41300043"
"ISic001563","493908","120704","175660 330099 331235","41300049"
"ISic001564","285086","120703","175664 331240","41300053 64900410"
"ISic001565","493910","","175665","41300054"
"ISic001566","493911","","175666","41300055"
"ISic001567","285085","120701","175667 340068","70900627 70900626"
"ISic001568","284896","112424","175675","41300063"
"ISic001569","284932","112426","175679","41300067"
"ISic001570","284894","112421","175682","41300070"
"ISic001571","284899","112430","175684","41300072"
"ISic001572","284887","109013","175685 340069 340070","41300073 41400008"
"ISic001573","284947","112431","175689 330103","41300075"
"ISic001574","284901","112482","175694","41300080"
"ISic001575","284881","108281","175699","41300085"
"ISic001576","284879","112487","175700","41300086"
"ISic001577","284905","112488","175701","41300087"
"ISic001578","284880","112489","175702","41300088"
"ISic001579","493913","","175704 331242","41300089"
"ISic001580","493915","","175708","41300091"
"ISic001581","493917","","175717 175718","41400012 41300093"
"ISic001582","493919","","175719","41300094"
"ISic001583","645040","","",""
"ISic001584","645041","","",""
"ISic001585","645042","","",""
"ISic001586","645043","","",""
"ISic001587","645044","","",""
"ISic001588","645045","","",""
"ISic001589","645046","","",""
"ISic001590","645047","","",""
"ISic001591","645048","","",""
"ISic001592","645049","","",""
"ISic001593","645050","","",""
"ISic001594","645051","","",""
"ISic001595","645052","","",""
"ISic001596","645053","","",""
"ISic001597","645054","","",""
"ISic001598","645055","","",""
"ISic001599","645056","","",""
"ISic001600","645057","","",""
"ISic001601","645058","","",""
"ISic001602","645059","","",""
"ISic001603","645060","","",""
"ISic001604","645061","","",""
"ISic001605","645062","","",""
"ISic001606","645063","","",""
"ISic001607","645064","","",""
"ISic001608","645065","","",""
"ISic001609","645066","","",""
"ISic001610","645067","","",""
"ISic001611","645068","","",""
"ISic001612","645069","","",""
"ISic001613","645070","","",""
"ISic001614","645071","","",""
"ISic001615","645072","","",""
"ISic001616","645073","","",""
"ISic001617","645074","","",""
"ISic001619","645075","","",""
"ISic001620","171040","","",""
"ISic001621","171042","","",""
"ISic001623","171043","","",""
"ISic001624","645076","","",""
"ISic001625","645077","","",""
"ISic001626","645078","","316276",""
"ISic001627","645079","","",""
"ISic001628","494022","","178073 316297","38000204"
"ISic001629","645080","","",""
"ISic001630","645081","","",""
"ISic001631","645082","","175472",""
"ISic001632","645083","108400","331388",""
"ISic001633","645084","","",""
"ISic001634","645085","","",""
"ISic001635","645086","","",""
"ISic001636","493921","","","12700064"
"ISic001637","493922","","","12700065"
"ISic001638","494038","","","12700066"
"ISic001639","494039","","","12700067"
"ISic001640","494040","","","12700068"
"ISic001641","493930","","","12700069"
"ISic001642","494041","","","12700070"
"ISic001643","493931","","","12700071"
"ISic001644","494042","","","12700072"
"ISic001645","284570","073713","","12700073"
"ISic001646","494044","","","12700075"
"ISic001647","494045","","334900","12700076"
"ISic001648","645087","","316250 331399",""
"ISic001649","175849","073195","","16100302"
"ISic001650","645088","","331417",""
"ISic001651","645089","","",""
"ISic001652","645090","","",""
"ISic001653","645091","","331250",""
"ISic001654","494047","","","12700078"
"ISic001655","645092","","",""
"ISic001656","645093","","",""
"ISic001657","175844","072138","","12700079"
"ISic001658","494032","","175735 331990","41400015 41400016"
"ISic001659","645094","","",""
"ISic001660","284791","","331219","64900328"
"ISic001661","645119","","",""
"ISic001662","645120","","",""
"ISic001663","645121","136229","331490","64900838"
"ISic001664","653658","081506","",""
"ISic001665","","","",""
"ISic001666","492382","","","34700070"
"ISic001667","","","",""
"ISic001668","284797","105635","140582","39102256"
"ISic001669","","","",""
"ISic001670","","","",""
"ISic001671","","","",""
"ISic001672","","","",""
"ISic001673","","","","75700188"
"ISic001674","697235","137142","331396","64901084"
"ISic001675","698352","149782","331124","70900984"
"ISic001676","","","","34700073"
"ISic001677","","","",""
"ISic001678","","","",""
"ISic001679","","","",""
"ISic001680","","","",""
"ISic001681","","","",""
"ISic001682","","","",""
"ISic001683","","","",""
"ISic001684","","","",""
"ISic001685","","","",""
"ISic001686","","","",""
"ISic001687","","","",""
"ISic001688","493021","","140913","39101533"
"ISic001689","493021","","140913","39101533"
"ISic001690","493021","","140913","39101533"
"ISic001691","","","",""
"ISic001692","","","",""
"ISic002702","645122","","334230",""
"ISic002703","645123","","334292",""
"ISic002704","645124","","334249",""
